,feature,coefficient estimate,standard error,Z stats,P value,95%CI low,95%CI up
0,Pressure(hPa),0.41551368289871227,0.07523452244517592,5.522912479460488,3.3342584636929604e-08,0.26805672851209716,0.5629706372853274
1,press_cut1,759.2660672146429,117.39819609883058,6.467442366622583,9.967553712764865e-11,529.1698310109643,989.3623034183215
2,press_cut2,-629.2071737843581,119.23427532876283,-5.277066280223995,1.3126841764287608e-07,-862.902059151466,-395.51228841725026
3,press_inter1,-0.8628221134405589,0.1335635381329883,-6.460012406840053,1.0469439736684702e-10,-1.1246018378289582,-0.6010423890521597
4,press_inter2,0.7119545803377785,0.1351921171508881,5.266243293927892,1.392437242430237e-07,0.44698289972831806,0.9769262609472389
5,RH(%),0.16254160186815203,0.12096218606760714,1.3437389580352466,0.17903281474585708,-0.07453992631559067,0.39962313005189476
6,rh_cut1,24.911800977441736,7.812202788766857,3.1888318379628267,0.001428489502070554,9.600164871535323,40.223437083348145
7,rh_cut2,5.370720991057322,6.605254249523328,0.8130982984409576,0.41616170196097524,-7.575339446738544,18.31678142885319
8,rh_inter1,-0.3245032472956634,0.10502851867169972,-3.089667943523056,0.00200380383552287,-0.5303553612417875,-0.1186511333495393
9,rh_inter2,-0.041990968675029994,0.08284369636733387,-0.5068698104541297,0.6122461695111545,-0.20436162990117607,0.12037969255111608
10,WindSpeed(m/s),5.748659116356265,1.1105121667878515,5.176583641568035,2.2598576451542944e-07,3.5720952650585387,7.925222967653991
11,wind_cut1,13.335763293118347,3.761527952958101,3.54530484949101,0.00039215925313359427,5.963303978479795,20.708222607756902
12,wind_cut2,-0.18601779702961352,2.5277020821554093,-0.07359166190621379,0.941335305984305,-5.140222841701121,4.768187247641894
13,wind_inter1,-5.585107541970537,1.562204413894223,-3.5751451553309366,0.0003500336363314025,-8.646971929692718,-2.5232431542483553
14,wind_inter2,-0.37623724960706895,0.9300857892224349,-0.40451886693334893,0.6858312068146081,-2.1991718990155533,1.4466973998014154
15,temperature_mean,0.6407943304683599,1.3835836571807845,0.46314100859940355,0.6432632972015833,-2.0709798072041905,3.3525684681409103
16,temp_mean_cut1,12.381174222976743,3.877898547346329,3.192753516321168,0.0014092318099748259,4.780632734477743,19.981715711475744
17,temp_mean_cut2,-33.019468111566965,11.615145223850066,-2.842794254846348,0.0044719928790299445,-55.784734425515516,-10.254201797618414
18,temp_mean_cut3,35.392408584714644,6.059970374027523,5.84036000182497,5.2088141066874905e-09,23.51508490424098,47.26973226518831
19,temp_mean_inter1,-2.2610274308193503,0.6607782782050792,-3.4217641611360863,0.0006221625451410461,-3.5561290578676936,-0.965925803771007
20,temp_mean_inter2,3.3637517665669296,1.1597551543321072,2.900398203881305,0.0037268886940401667,1.0906734331913075,5.636830099942552
21,temp_mean_inter3,-2.202241481697807,0.3895401199625325,-5.653439450369392,1.5726852983025376e-08,-2.965726087357783,-1.4387568760378309
22,temperature_min,-0.6708113044222372,0.8126754692746431,-0.8254356502491366,0.40912430207464234,-2.263625955319725,0.9220033464752504
23,temp_min_cut1,2.1401634972710397,4.273313818760458,0.5008205781366715,0.6164974018122679,-6.235377682136781,10.51570467667886
24,temp_min_cut2,-6.094056682785094,4.51333260294932,-1.350234343199706,0.1769408252804543,-14.940026034816178,2.751912669245989
